单词
当用汉字		假名				汉语
操作			そうさ				操作、操纵
機械			きかい				机械、机器
旅行会社		りょこうかいしゃ		旅行社
航空会社		こうくうかいしゃ		航空公司
営業部			えいぎょうぶ			营业部
ＩＴ産業		あいてぃさんぎょう		IT产业
製品			せいひん			产品
建築家			けんちくか			建筑家
設計			せっけい			设计
design			デザイン			设计图
形			かたち				造型、形状、形式
最新			さいしん			最新
necktie			ネクタイ			领带
財布			さいふ				钱包
革			かわ				皮革
布			ぬの				布匹
緑			みどり				绿色
水筒			すいとう			水桶、水壶
足			あし				脚
指			ゆび				手指、指头
目			め				眼睛
鼻			はな				鼻子
顔			かお				脸
頭			あたま				头脑
ＩＤcard		アイディーカード		身份证件
間違い			まちがい			错误、失误
問題			もんだい			问题
広告			こうこく			广告
看板			かんばん			牌子
展示場			てんじじょう			展览会场
入場料			にゅうじょうりょう		门票、进场费
service			サービス			服务
天井			てんじょう			天棚
警備			けいび				警备、警戒、
クリスマスツリー	クリスマスツリー		圣诞树
オーストラリア人	オーストラリアじん		澳大利亚人
皆さん			みなさん			大家、诸位
子			こ				孩子
横			よこ				横
持ちます		もちます			持有、拥有
住みます		すみます			居住、住
知ります		しります			认识、知道、了解
直します		なおします			修正、改正
片づけます		かたづけます			收拾、整理
練習します		れんしゅうします		练习
結婚します		けっこんします			结婚
安心します		あんしんします			安心、放心
明るい			あかるい			明亮、开朗
長い			ながい				长久、长远
短い			みじかい			短、短暂
軽い			かるい				轻巧、轻松、轻微
優しい			やさしい			和蔼、温和、体贴
細い			ほそい				细长、纤细
太い			ふとい				胖、粗
黒い			くろい				黑、黑色
unique			ユニーク			独特
安全			あんぜん			安全
派手			はで				耀眼、花哨
地味			じみ				朴素、质朴
厳重			げんじゅう			森严、严格
まじめ			まじめ				认真、严肃
大切			たいせつ			重要、珍贵
複雑			ふくざつ			复杂、繁杂
ちゃんよ		ちゃんと			好好的、的确、完全
まだ			まだ				还、又
すぐ			すぐ				马上、立即
ずいぶん		ずいぶん			相当、很、非常

语法
一类形容词 て　一类形容词 [并列]
