单词
当用汉字		假名				汉语
本			ほん				书
かばん			かばん				包
ノート			ノート				笔记本
鉛筆			えんぴつ			铅笔
傘			かさ				伞
新聞			しんぶん			报纸
雑誌			ざっし				杂志
辞書			じしょ				词典
カメラ			カマラ				照相机
テレビ			テレビ				电视机
パソコン		パソコン			个人电脑
ラジオ			ラジオ				收音机
電話			でんわ				电话
机			つくえ				桌子
椅子			いす				椅子
かぎ			かぎ				锁，钥匙
時計			とけい				钟，表
手帳			てちょう			记事本
写真			しゃしん			照片
車			くるま				车
自動車			じどうしゃ			自行车
お土産			おみやげ			礼物
名産品			めいさんひん			特产
シルク			シルク				丝绸
ハンカチ		ハンカチ			手绢
会社			かいしゃ			公司
方			かた				人
人			ひと				人
家族			かぞく				家人，家属
母			はは				母亲
日本語			にほんご			日本语
これ			これ				这，这个
あれ			あれ				那，那个
それ			それ				那，那个
どれ			どれ				哪个
なん			なん				什么
誰			だれ				谁
どなた			どなた				哪位
この			この				这，这个
その			その				那，哪个
あの			あの				那，哪个
どの			どの				哪个
