单词
当用汉字		假名				汉语
音			おと				声音，响声
声			こえ				声音
空気			くうき				空气
息子			むすこ				儿子
医者			いしゃ				医生
お嬢さん		おじょうさん			令爱
社会人			しゃかいじん			社会人
旅行ガイド		りょこうガイド			旅行导游
学者			がくしゃ			学者
pilot			パイロット			飞行员
designer		デザイナー			设计者
タイムサービス		タイムサービス			促销
新春セール		しんしゅんせる			新春甩卖
三割引			さんわりびき			七折
定価			ていか				定价
半額			はんがく			半价
値段			値段				价格
shirt			シャツ				衬衫
skirt			スカート			裙子
色			いろ				颜色
赤			あか				红色
青			あお				蓝色
お正月			おしょうがつ			新年
時間			じかん				时间
将来			しょうらい			将来
準備			じゅんび			准备
病気			びょうき			疾病
なります		なります			变成，成为
あきます		あきます			开
似合います		にあいます			适合，相称
うるさい		うるさい			闹，心烦
simple			シンプル			简单
まもなく		まもなく			一会
もうすぐ		もうすぐ			一会
さらに			さらに				更
もっと			もっと				更


